% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 06 January 2011  -  12:50:24 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Horizontal nudge of IMU
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
304 368 -90 585 2 1 353 -515 -534 -529 0 0 
305 370 -89 584 2 1 353 -515 -534 -529 0 0 
306 369 -92 586 2 2 353 -516 -535 -529 0 0 
307 369 -91 586 1 2 354 -516 -534 -530 0 0 
308 364 -89 584 1 2 354 -516 -534 -529 0 0 
309 364 -90 585 1 2 355 -516 -534 -529 0 0 
310 365 -89 587 1 2 354 -516 -534 -530 0 0 
311 364 -87 583 1 2 354 -515 -534 -530 0 0 
312 365 -98 586 1 2 354 -515 -534 -530 0 0 
313 363 -91 584 2 2 354 -516 -534 -530 0 0 
314 362 -91 586 2 2 354 -515 -534 -529 0 0 
315 366 -89 585 2 2 353 -515 -535 -529 0 0 
316 364 -89 586 2 2 354 -516 -534 -530 0 0 

% Total Sample Count = 316.
% Sample Count Used for mean/std calculations = 316.

%                                  MagX     MagY     MagZ     AccX     AccY     AccZ     % GyroR   GyroP    GyroY  LButton  RButton
% Means                      :  371.000  -66.000  585.000    1.000    2.000  353.000 -515.000 -534.000 -526.000    0.000    0.000 
% Standard Deviations        :    7.533   30.139    1.345    4.653   20.514    0.979    0.504    0.467   12.590    0.000    0.000 
% Maximums                   :      387      -13      589       31      110      359     -514     -533     -454        0        0 
% Minimums                   :      362     -101      582      -21     -119      347     -516     -536     -543        0        0 
% Range (Maximums - Minimums):       25       88        7       52      229       12        2        3       89        0        0 
